acmi_id,acmi_name,wikidata_id,wikidata_name,acmi_title,wikidata_title,match
77127,RICHARD CAMPBELL,Q16464770,RICHARD BANEL,LIZARDS OF OZ; WOMBATS: BULLDOZERS OF THE BUSH,EDGES OF THE LORD,46
77127,RICHARD CAMPBELL,Q242451,CAMERON RICHARDSON,LIZARDS OF OZ; WOMBATS: BULLDOZERS OF THE BUSH,THE GOOD HUMOR MAN,29
77127,RICHARD CAMPBELL,Q105627141,RICHARD GALE,LIZARDS OF OZ; WOMBATS: BULLDOZERS OF THE BUSH,PRESSURE,8
77127,RICHARD CAMPBELL,Q966859,RICHARD PERLE,LIZARDS OF OZ; WOMBATS: BULLDOZERS OF THE BUSH,WHY WE FIGHT,14
77127,RICHARD CAMPBELL,Q7324082,RICHARD BELL,LIZARDS OF OZ; WOMBATS: BULLDOZERS OF THE BUSH,BROTHERHOOD,22
77127,RICHARD CAMPBELL,Q7324307,RICHARD BRACEWELL,LIZARDS OF OZ; WOMBATS: BULLDOZERS OF THE BUSH,THE GIGOLOS,25
77127,RICHARD CAMPBELL,Q16222417,RICHIE CAMPBELL,LIZARDS OF OZ; WOMBATS: BULLDOZERS OF THE BUSH,WILDERNESS,22
77127,RICHARD CAMPBELL,Q466913,CONCHITA CAMPBELL,LIZARDS OF OZ; WOMBATS: BULLDOZERS OF THE BUSH,SCARY MOVIE 4,18
77127,RICHARD CAMPBELL,Q10514960,CHARLIE CAMPBELL,LIZARDS OF OZ; WOMBATS: BULLDOZERS OF THE BUSH,FULL GROWN MEN,17
77127,RICHARD CAMPBELL,Q7324626,RICHARD CARMEN,LIZARDS OF OZ; WOMBATS: BULLDOZERS OF THE BUSH,ZOO,9
77127,RICHARD CAMPBELL,Q2149225,RICHARD CHEVOLLEAU,LIZARDS OF OZ; WOMBATS: BULLDOZERS OF THE BUSH,TALK TO ME,19
77127,RICHARD CAMPBELL,Q18655469,RICHARD KEMPER,LIZARDS OF OZ; WOMBATS: BULLDOZERS OF THE BUSH,KAPITEIN ROB EN HET GEHEIM VAN PROFESSOR LUPARDI,33
77127,RICHARD CAMPBELL,Q7328256,RICHARD PAEY,LIZARDS OF OZ; WOMBATS: BULLDOZERS OF THE BUSH,THE WAR ON DRUGS,37
77127,RICHARD CAMPBELL,Q2149759,RICHARD HELLER,LIZARDS OF OZ; WOMBATS: BULLDOZERS OF THE BUSH,FINDING AMANDA,14
77127,RICHARD CAMPBELL,Q674902,RINALDO CAPELLO,LIZARDS OF OZ; WOMBATS: BULLDOZERS OF THE BUSH,TRUTH IN 24,18
77127,RICHARD CAMPBELL,Q7788204,THOMAS CAMPBELL,LIZARDS OF OZ; WOMBATS: BULLDOZERS OF THE BUSH,BEAUTIFUL LOSERS,27
77127,RICHARD CAMPBELL,Q3934920,RICHIE CAMPBELL,LIZARDS OF OZ; WOMBATS: BULLDOZERS OF THE BUSH,THE FIRM,19
77127,RICHARD CAMPBELL,Q716624,RICHARD ELLIS,LIZARDS OF OZ; WOMBATS: BULLDOZERS OF THE BUSH,THE FIRM,19
